recipe_id,recipe_name,method
36,หมี่หน้าเนื้อ,"1. ลวกเส้นหมี่ให้สุกแล้วพักให้สะเด็ดน้ำ
2. ปอกหัวหอมแล้วหั่นบาง ๆ
3. ผ่ามะเขือเทศแล้วหั่นตามขวางเป็นชิ้นบาง ๆ
4. หั่นเนื้อเค็มต้มตามขวางเป็นชิ้นพอคำ
5. ตักน้ำมันหมูใส่กะทะ ตั้งไฟจนร้อน ใส่หัวหอมผัดพอหอมนุ่ม
6. ใส่เนื้อเค็มที่หั่นแล้ว ลงผัดพร้อมแป้งมันละลายน้ำประมาณ 1 ถ้วยชา และมะเขือเทศ ปรุงรสด้วยเกลือและพริกไทย ถ้าน้ำแห้งไป เติมน้ำเล็กน้อย
7. ตักเนื้อผัดขึ้น พักไว้ในกระทะบางส่วน
8. ใส่เส้นหมี่ที่ลวกไว้ลงในกระทะ เคล้าให้เข้ากับน้ำและเนื้อที่เหลือ ระวังอย่าให้เส้นขาด
9. โรยเนยแข็งป่นเล็กน้อย เคล้าให้ทั่วอีกครั้ง
10. ตักเส้นหมี่ใส่จาน ราดด้วยเนื้อที่ผัดไว้ให้ทั่ว โรยเนยแข็งป่นเพิ่มเติม
11. เสิร์ฟพร้อมน้ำส้มแช่พริกตามชอบ"
37,ขนมสาลี่โกโก้,"1. ตีน้ำตาลกับไข่ให้ขึ้นฟูจนเป็นสีขาวและเนื้อเบา
2. ใส่แป้งสาลีและโกโก้ลงไป เคล้าให้เข้ากันอย่างรวดเร็ว
3. เทส่วนผสมลงในถาดที่รองด้วยกระดาษแก้วธรรมดา (ไม่ใช่ใสแจ๋ว)
4. โรยลูกเกดบนหน้าขนมให้ทั่ว
5. นึ่งบนไฟแรงประมาณ 30 นาที
6. คว่ำหน้าถาดลงแล้วรีบลอกกระดาษแก้วออกทันที
7. หากใช้พิมพ์กลม ให้ปูกระดาษสูงกว่าขอบถาดเล็กน้อยเพื่อสะดวกในการยกขนมออก"
38,สาคูเปียก,"1. เลือกสาคูให้หมดผง ล้างน้ำและคนให้ผงลอยแล้วรีบรินน้ำทิ้งให้หมด
2. ใส่สาคูลงในกะทะพร้อมน้ำดอกไม้สด ยกขึ้นตั้งไฟ ต้มจนสาคูสุกและใส ไตขาวหมด
3. ใส่น้ำตาลทรายลงไป คนจนน้ำตาลละลายเข้ากันดีแล้วยกลง
4. คั้นหัวกะทิกรองด้วยผ้า ใส่เกลือเล็กน้อยแล้วเทใส่ถ้วยสำหรับรับประทาน

**หมายเหตุ** สาคูเปียกนี้จะใช้รับประทานกับถั่วดำต้มน้ำตาลก็ได้ โดยไม่ต้องใช้หัวกะทิ"
39,ห่อหมกไข่,"1. ฉีกพริกแห้งล้างให้สะอาด หั่นตะไคร้ ปอกหัวหอมและกระเทียม ขูดกะชาย ล้างและหั่นรวมเครื่องทั้งหมดใส่ครกโขลกจนละเอียด
2. ตักน้ำใส่หม้อตั้งไฟจนเดือดพล่าน ปอกและผ่าปลีกล้วยใส่ลงตุ๋น ปิดฝาพอสุก ใช้ได้ ตักขึ้นผ่าเป็น 4 เสี้ยว แล้วหั่นตามขวางขนาด 2 เซนติเมตร
3. คั้นหัวกะทิข้น ๆ ตักใส่ภาชนะเล็ก ๆ ตั้งไฟสัก 4 ช้อนโต๊ะ คอยคนจนเดือด เก็บไว้หยอดหน้า ส่วนที่เหลือใส่อ่างสำหรับกวนห่อหมก
4. ใส่หัวปลีที่หั่นไว้ลงในอ่างกะทิ บีบน้ำให้แห้งแล้วคนพอทั่ว ใส่น้ำพริกที่โขลกไว้ลงกวนจนเข้ากัน
5. ต่อยไข่เค็มลงชาม แยกไข่แดงและไข่ขาว ผ่าไข่แดงเป็นลูกละ 8 ชิ้น นวดไข่ขาวกับแป้งข้าวจ้าวให้เข้ากัน ใส่ลงคนกับหัวปลีพร้อมไข่แดงและไข่จืด คนเบา ๆ พอเข้ากัน
6. ชิมรส ถ้ายังไม่เค็มเติมน้ำเคยดีตามชอบ
7. เย็บกระทง 5 มุม รอบปากขนาดเส้นผ่าศูนย์กลาง 10 เซนติเมตร
8. หั่นใบยอเล็ก ใส่ก้นกระทง ตักห่อหมกใส่ให้เต็ม ราดหัวกะทิ หั่นใบมะกรูด ต้นหอม ผักชีโรยตามชอบ"
40,แกงยา,"1. ล้างพริกแห้ง แช่น้ำพอให้นุ่ม จากนั้นโขลกให้ละเอียด
2. ใส่หัวหอม ปลากุเลาเค็ม กะปิ ไพล และน้ำลงโขลกให้เข้ากัน จากนั้นตั้งไฟจนเดือด
3. ล้างใบชะพลูให้สะอาด หั่นฝอยละเอียดใส่ลงในชามแกง
4. ตักน้ำแกงจืดเดือด ๆ ใส่ชามแกง น้ำแกงจะใสกว่าน้ำยาปกติเล็กน้อย รับประทานร้อน ๆ"
41,เนื้อเครื่องเทศทอด,"1. ล้างลูกผักชี ยี่หร่า และพริกไทย คั่วให้หอม แล้วป่นพอหยาบ
2. โรยเครื่องเทศที่ป่นบนเนื้อโค ใส่น้ำปลา เคล้าจนเข้ากันและน้ำปลาซึมเข้าเนื้อ
3. ใส่น้ำมันหมูลงในกะทะ ตั้งไฟให้ร้อนจัด ใส่เนื้อลงทอดจนพอสุก รีบกลับด้าน
4. ผสมน้ำส้มกับน้ำตาลแล้วราดลงบนเนื้อ รีบคลุกให้เข้ากันแล้วตักขึ้นใส่จาน

**หมายเหตุ** ทำเนื้อชนิดนี้ต้องระวังอย่าให้สุกมากเกินไป"
42,ขนมต้มแดง,"1. ใช้น้ำผสมกับแป้งข้าวเหนียว นวดจนแป้งนุ่ม ปั้นเป็นก้อนกลมขนาด 1 เซนติเมตร แล้วกดให้แบน
2. ตักน้ำใส่กะทะ ตั้งไฟจนเดือด ใส่แป้งที่ปั้นไว้ลงต้ม พอแป้งลอย ตักขึ้นล้างน้ำเย็น
3. เคี่ยวน้ำตาลกับน้ำดอกไม้สดจนละลายแล้วกรองด้วยผ้าขาวบาง
4. ใส่มะพร้าวลงในน้ำตาลที่เคี่ยวไว้ กวนจนเหนียว แล้วใส่แป้งที่ต้มแล้วลงคนให้ทั่ว
5. ตักใส่จาน โรยถั่วเขียวหรือถั่วทองคั่วด้านบน"
43,ปลาอบ,"1. ล้างปลาจนหมดเมือก แล่ผ่าปลาตามยาวออกเป็นสองซีก เอาไส้ออก ล้างด้วยน้ำผสมมะนาวให้สะอาด แล้ววางลงในภาชนะที่ทาด้วยน้ำมันหมูให้เกล็ดปลาอยู่ข้างบน
2. โขลกขิงกับกระเทียมให้ละเอียด ใส่เต้าเจี้ยวและหอมหัวใหญ่ บุบจนเข้ากัน ตักส่วนผสมลงภาชนะปลา
3. ผสมน้ำพริกเผา น้ำปลา ซีอิ๊วขาว น้ำตาลทราย และมันหมู เคล้าให้เข้ากัน ตักเกลี่ยลงบนตัวปลาให้ทั่ว
4. เทน้ำชุบกระดูกไก่ลงไปข้างตัวปลา อบในเตาอบใช้ความร้อน 450 ดีกรี ประมาณ 1 ชั่วโมงจนหนังปลากรอบหอม
5. จัดปลาใส่จาน เสิร์ฟพร้อมน้ำจิ้มที่ประกอบด้วยน้ำส้ม พริกไทยป่น น้ำตาล เกลือ กระเทียมหั่นละเอียด ผักชีทั้งก้านและใบหั่นละเอียด"
44,ตับตุ๋น,"1. ผสมตับหมูบด เนื้อหมูบด และกะหล่ำปลีสับละเอียดเข้าด้วยกัน ปรุงรสด้วยเกลือป่น พริกไทยป่น และลูกจันทน์ป่น คนให้เข้ากันดี
2. ทาเนยที่ภาชนะสำหรับนึ่งหรือพิมพ์แก้วให้ทั่วค่อนข้างหนา
3. ตักส่วนผสมทั้งหมดลงในพิมพ์หรือภาชนะที่เตรียมไว้ นึ่งประมาณ 20 นาที
4. นำออกจากพิมพ์ จัดใส่ภาชนะ ตกแต่งด้วยหัวผักกาดแดงและหัวผักกาดเหลืองหั่นฝอยต้มจนเปื่อย รับประทานร้อน ๆ"
45,ไก่หยอง,"1. ใส่เนื้อไก่ที่ต้มซุปลงในกะทะทองหรือกะทะดินเผา
2. เติมซีอิ๊วขาวและน้ำตาลลงไป พร้อมน้ำเล็กน้อยพอให้เนื้อแฉะ
3. คนและยีเนื้อไก่ด้วยพายไม้หรือช้อนไม้ให้เนื้อแตกเป็นปุย
4. ตั้งไฟอ่อน คอยคนไปเรื่อย ๆ จนเนื้อไก่แห้งกรอบ และรสชาติหวานเค็มพอดี
5. ปิดไฟ ยกลง เตรียมใช้เป็นเครื่องปรุงหรือรับประทานคู่ข้าวเหนียว"
46,สลัดหมูกรอบ,"1. เช็ดเนื้อหมูให้สะอาดด้วยผ้าชุบน้ำบิดหมาด ทาเกลือและพริกไทยให้ทั่ว
2. ตั้งน้ำมันหมู 1 ช้อนโต๊ะในกะทะ พอร้อน ใส่เนื้อหมูลงทอดโดยใช้ผ้าปิดไว้ ระวังพอเหลืองกลับอีกด้าน
3. หั่นหัวหอมบาง ๆ แล้วเขี่ยก้อนหมูออกข้างกะทะ ใส่หัวหอมลงเจียวพอเหี่ยว
4. ใส่หมูคืนลงกะทะ เติมน้ำเล็กน้อย อย่าให้ท่วม ปิดฝาเคี่ยวไฟอ่อนจนหมูนุ่ม (ไม่ให้เปื่อย)
5. ปอกสายบัว หั่นเป็นท่อนประมาณ 1 คืบ ลอกเยื่อออก แช่น้ำ
6. ล้างแตงกวา ผ่าครึ่งหรือหั่นเป็นริ้วบาง ๆ หั่นสายบัวเฉียง ๆ บาง ๆ และหั่นมะเขือเทศตามขวาง
7. หั่นเนื้อหมูเป็นแผ่นบาง ๆ ตามขวางให้เรียบร้อย จัดลงจานพร้อมผักต่าง ๆ
8. ราดน้ำสลัดบนสลัดหมูกรอบก่อนเสิร์ฟ

##วิธีผสมน้ำสลัด:
ใส่น้ำมันหมู 2 ช้อนโต๊ะ เกลือ 1 ช้อนชา น้ำตาล 1 ช้อนโต๊ะพูน พริกไทย 1/2 ช้อนชา คนให้เข้ากัน ค่อย ๆ เติมน้ำส้ม คนจนเกลือน้ำตาลละลายและรสชาติเปรี้ยวหวานเค็มพอดี

**หมายเหตุ** เนื้อหมูที่ยังเหลืออยู่เก็บไว้ทำสตู หรืออะไรอย่างอื่นต่อไปในมื้ออื่นได้นานหลายวัน แต่ต้องคอยอุ่นทุกวัน (ตุ๋น) เพราะไม่มีตู้เย็น สลัดนี้ไม่ได้แปลกอะไร แต่จะแสดงว่าสายบัวนั้นใช้ทำสลัดได้ดี ใส่ให้มากกว่าของอื่นแทนผักกาดหอม ผักกาดแก้วอร่อยดีมาก เราใช้ยำพล่าอะไรกับใบสะระแหน่ดีเหมือนกัน บางทีเรายำใส่หัวหอม กุ้งแห้งป่น พริกเผา น้ำปลาดี มะนาว (แทนแตงกวา) อร่อยดี ผักบุ้งสายบัวนี้ เราทำอะไร ๆ หลายอย่างเช่น เราทำพะโล้ผักบุ้งกับเต้าหู้เหลือง รับประทานกับน้ำส้มผสมน้ำปลาซีอิ๊ว พริกแดง ผักชี เป็นต้น"
47,ไข่ดาว,"##วิธีทำอย่างที่ 1:
1. ตักน้ำมันใส่กะทะ พอประมาณ
2. ค่อย ๆ ต่อยไข่ลงในน้ำมัน ระวังอย่าให้ไข่แดงแตก
3. ตั้งไฟ พอน้ำมันร้อน ใช้ตะหลิวราดน้ำมันบนไข่ให้ทั่ว
4. รอจนไข่ขาวสุกเป็นวุ้น ก็ใช้ได้

##วิธีทำอย่างที่ 2:
1. ตั้งน้ำมันในกะทะให้ร้อนจัด
2. ต่อยไข่ลงในน้ำมัน ใช้ตะหลิวราดน้ำมันบนไข่
3. รอจนไข่ขาวสุกบนเหลืองล่าง ก็ใช้ได้

##วิธีแต่ง:
ราดน้ำมันซีอิ้วบนไข่ดาว มันฝรั่งฝานบาง ๆ หรือขนมปังสดหั่นสี่เหลี่ยมลูกบาศก์ทอด หรือใช้หมูสับละเอียด หอมใหญ่ฝอยผัดใส่น้ำส้ม น้ำปลา น้ำตาล แล้วราดลงบนไข่"
48,ยอดแคผัดกรอบ,"1. ล้างยอดแคให้สะอาด รูดใบแคออกแล้วสะเด็ดน้ำให้แห้ง
2. ตั้งน้ำมันในกะทะ ทอดยอดแคจนกรอบ ตักขึ้นพักให้สะเด็ดน้ำมัน
3. ทุบกระเทียมแล้วสับให้ละเอียด เจียวในน้ำมันจนเหลือง ตักน้ำมันขึ้นให้หมด
4. ใส่ยอดแคลงผัดกับกระเทียม เติมซีอิ๊วขาวตามชอบแล้วคลุกให้เข้ากัน (ถ้าชอบหวาน สามารถเติมน้ำตาลเล็กน้อยตอนผัดได้)

**หมายเหตุ** ใบแคต้องล้างก่อน รดสบัดน้ำให้แห้ง ผึ่งไว้ให้น้ำแห้งจึงรูด มิฉะนั้นเวลาทอดน้ำมันจะกระเด็น"
49,ข้าวชวา,"##ไก่ต้ม:
1. ล้างไก่ให้สะอาด ตัดเป็นท่อนโต ๆ
2. คั้นกะทิใส่หม้อพอท่วมชิ้นไก่ ตั้งไฟจนเดือด
3. ใส่ผงกะหรี่และใบกระวาน เคี่ยวจนไก่เปื่อย

##เนื้อพะแนง:
1. ใช้เนื้อโคที่เปื่อยดี ไม่ล้างน้ำ
2. เช็ดเนื้อให้แห้ง วางบนเขียง เคาะด้วยซ่อมเหล็กทั้งสองด้านจนเนื้อนุ่ม
3. ใส่หม้อกับกะทิ เคี่ยวจนเกือบแห้งเป็นน้ำขลุกขลิก ปรุงรสตามชอบ
4. หั่นเป็นชิ้นบาง ๆ ตามขวาง

##เนื้อเค็มทอดฟู:
1. แช่เนื้อเค็มในน้ำเย็นพอให้อ่อนตัว
2. ปิ้งไฟอ่อนจนสุก
3. ทุบให้นุ่มเป็นปุย
4. ทอดในน้ำมันร้อนจนกรอบ โรยน้ำตาลทรายละเอียดกำลังร้อน

##ถั่วงอกผัดกะทิ:
1. เด็ดรากถั่วงอก ล้างสะอาด
2. ลวกในน้ำเดือดพอทั่ว
3. ผัดกับกะทิเล็กน้อย แล้วใส่จาน

##ถั่วเมล็ดกลมผัดกะทิ:
ซาวถั่วให้สะอาด ต้มจนสุก ตักขึ้น ผัดกับกะทิเล็กน้อย ใส่จาน

##ไข่เค็มต้ม:
ปอก เป่าผ่าเป็นชิ้น จัดใส่จาน

##แตงร้าน:
ปอกผิวบาง ๆ ผ่าฝานเมล็ดออก แช่น้ำเย็นให้กรอบ จัดใส่จาน

##พริกแดงกับเกลือ:
ล้างพริกแดง โขลกกับเกลือให้ละเอียด ตักใส่ถ้วยเล็ก ๆ

##วิธีจัดเสิร์ฟ:
1. วางชามใหญ่ใส่ไก่ต้มไว้กลางโต๊ะ
2. จัดเนื้อพะแนง เนื้อเค็มทอดฟู ไข่เค็ม ถั่วงอก ถั่วเมล็ดกลม แตงร้านรอบ ๆ
3. รับประทานโดยตักข้าวใส่จาน พอควร แล้วหยิบเครื่องต่าง ๆ ใส่ในจานตามชอบ
4. ราดน้ำกะทิและน้ำแกงไก่ให้ทั่วข้าว คลุกก่อนรับประทาน
5. แตงร้านจิ้มพริกกับเกลือแกล้มได้ตามชอบ"
50,มะเขือเทศกุ้งเผา,"1. ล้างกุ้งให้สะอาดแล้วเผาไฟแรงให้สุกเร็ว ๆ อย่าให้แห้ง
2. ล้างมะเขือเทศแล้วเผาพอให้ผิวเหี่ยว
3. นำพริกเสียบเข้ากับไม้แหลมรวมกับหัวหอม แล้วเผาพอสุก
4. ปอกกุ้ง แยกหัวไว้ต่างหาก ฉีกเนื้อออก เขี่ยมันที่หัวกุ้งใส่ชามไว้
5. กุ้งที่ปอกแล้วผ่าเป็นสองซีก มะเขือเทศปอกเปลือก ผ่าสองซีก หั่นตามขวางหนาประมาณครึ่งเซนติเมตร
6. จัดกุ้งกับมะเขือเทศลงจาน เรียงสลับกันเป็นสองแถวตรงกลางจานเปล จากนั้นนำมันกุ้งใส่ตรงกลางระหว่างแถว
7. ปอกพริกเผาลอกผิวออก หั่นตามขวางเป็นชิ้น ๆ ปอกหอมเผาซอยหยาบ ๆ แล้วโรยประดับบนกุ้งตามความเหมาะสม
8. ผสมน้ำเคยดีและน้ำมะนาว ปรุงรสตามชอบ แล้วราดข้างบน แต่งหน้าด้วยผักชี"
51,ไข่ต้มปรุงจับฉ่าย,"1. ต้มไข่ให้ไข่แดงเป็นยางมะตูม จากนั้นแช่น้ำเย็น ปอกเปลือกแล้วหั่นเป็น 8 ชิ้น
2. ผ่าแตงกวาตามยาวเป็นสองซีก แล้วหั่นตามขวางบาง ๆ ใส่จาน
3. จัดชิ้นไข่วางบนแตงกวา โรยตั้งฉ่าย ต้นหอม ผักชี และพริกสดหั่นฝอย
4. ผสมน้ำซีอิ๊ว น้ำส้ม และน้ำตาล ชิมรสตามชอบ (ให้ออกรสเค็ม เปรี้ยว หวานกลมกล่อม)
5. ราดน้ำปรุงลงบนไข่และแตงกวา รับประทานกับข้าวสวยร้อน ๆ

**หมายเหตุ** สามารถใช้กุนเชียงแทนไข่ต้มได้ รสชาติอร่อยไปอีกแบบ"
52,ยำไข่ดาว,"1. ตั้งกระทะ ใส่น้ำมันเล็กน้อย พอร้อน ใส่เนื้อวัวสับลงผัดให้สุก ปรุงด้วยน้ำปลาเล็กน้อย ตักขึ้นพักไว้
2. ทอดไข่ดาวโดยตั้งน้ำมันให้ร้อนจัด ต่อยไข่ใส่กระทะ ทอดจนไข่ขาวฟูกรอบและไข่แดงสุกเหลือง ตักขึ้นให้สะเด็ดน้ำมัน
3. หั่นไข่ดาวเป็นสี่เหลี่ยมพอคำ โดยคงรูปไข่ให้ใกล้เคียงของเดิม
4. ล้างผักกาดหอม คึ่นฉ่าย แตงกวา และหอมหัวใหญ่ให้สะอาด หั่นพอคำ จัดใส่จานให้สวยงามคล้ายสลัด
5. วางชิ้นไข่ดาวลงบนผักโดยระวังไม่ให้เสียรูป โรยเนื้อวัวรวนและพริกแดงผ่าครึ่งตกแต่งให้สวยงาม
6. ก่อนรับประทาน ราดด้วยน้ำปรุงยำที่เตรียมไว้

##น้ำปรุงยำ:
1. โขลกกระเทียม พริกแดง (เอาเมล็ดออก) และรากผักชีรวมกันให้ละเอียด
2. ปรุงรสด้วยเกลือป่น น้ำส้ม และน้ำตาล ชิมรสตามชอบ (ให้ออกรสเปรี้ยว เค็ม หวานกลมกล่อม)"
53,นกปากซ่อมสับ,"1. ตั้งกระทะ ใส่เนยหรือน้ำมันหมู พอร้อน ใส่หอมหัวใหญ่ลงผัดจนหอม
2. ใส่นกปากซ่อมและเนื้อหมู ผัดให้สุกดี
3. ปรุงรสด้วยน้ำปลา ซีอิ๊ว เกลือ น้ำตาล และพริกไทย ผัดให้เข้ากัน
4. ใส่หัวผักกาดเค็ม แห้ว และดอกกุยช่าย ผัดต่อให้ทุกอย่างเข้ากันดี ชิมรสให้ออกเค็มเล็กน้อย
5. จัดใบผักกาดหอมตัดเป็นขนาดพอห่อได้ วางเรียงรอบจาน
6. ตักนกสับใส่ตรงกลางจาน เสิร์ฟพร้อมถ้วยซอส
7. เวลารับประทาน ตักนกใส่ใบผักกาดหอม แล้วหยอดซอสเล็กน้อยก่อนรับประทาน"
54,หมี่หน้าเนื้อ,"1. ลวกเส้นหมี่ให้สุก แล้วผึ่งให้สะเด็ดน้ำพักไว้
2. ปอกหัวหอม หั่นบาง ๆ และผ่ามะเขือเทศ หั่นตามขวางเป็นแว่นบาง ๆ
3. หั่นเนื้อเค็มต้มเป็นชิ้นบางตามขวางเส้นเนื้อ
4. ตักน้ำมันหมูใส่กระทะ พอน้ำมันร้อน ใส่หัวหอมลงผัดจนหอมนุ่ม
5. ใส่เนื้อที่หั่นไว้ เติมแป้งมันละลายน้ำประมาณ 1 ถ้วยชา และมะเขือเทศลงไป
6. ปรุงรสด้วยเกลือและพริกไทย ถ้าแห้งเกินไปให้เติมน้ำเล็กน้อย เคี่ยวจนเข้ากันดี
7. ตักขึ้นจากกระทะ เหลือซอสนิดหน่อยไว้ในกระทะ
8. ใส่เส้นหมี่ที่ลวกไว้ลงไปเคล้าให้ทั่ว ระวังอย่าให้เส้นขาดหรือเละ
9. โรยเนยแข็งเล็กน้อย เคล้าให้ทั่วอีกครั้ง แล้วตักใส่ภาชนะ
10. ราดด้วยซอสเนื้อที่ผัดไว้ โรยหน้าเนยแข็งอีกครั้ง
11. รับประทานคู่กับน้ำส้มแช่พริกแดงตามชอบ"
55,แกงจืดชนิดตีน้ำมัน,"1. ล้างหมูปนมันแล้วหั่นเป็นชิ้นบาง ๆ ประมาณ 1 ช้อนโต๊ะพูน เตรียมผักกาดขาวหั่นเป็นชิ้นพอคำแล้วแช่น้ำไว้ ทุบหอมและกระเทียมพอแตกไว้
2. ตั้งกระทะ ใส่น้ำมันหมูลงไป พอร้อนใส่หอมกับกระเทียมที่ทุบไว้ลงเจียวจนมีกลิ่นหอมและสีเหลืองอ่อน
3. สงผักกาดขาวขึ้นจากน้ำ ใส่ลงในกระทะผัดพอให้ผักเริ่มสลด แล้วกลับด้านเพื่อให้สุกทั่วเล็กน้อย
4. ใส่หมูหั่นบางลงผัดกับผักจนหมูเริ่มสุกเข้ากันดี เติมน้ำเปล่าแล้วปิดฝาเคี่ยวจนน้ำเดือดและผักกับหมูนุ่มพอดี
5. เมื่อน้ำเดือดแล้ว ตอกไข่ลงไป ใช้ช้อนหรือพายเขี่ยไข่แดงให้แตกเป็นชิ้นเล็ก ๆ เบา ๆ (ห้ามคนแรง เพื่อให้น้ำแกงใสไม่ข้น)
6. ปรุงรสด้วยน้ำปลา ประมาณ 1 ช้อนชา ชิมแล้วปรับรสตามชอบ
7. ยกลงตักเสิร์ฟ โรยพริกไทยป่นเล็กน้อยก่อนเสิร์ฟ และเสิร์ฟร้อน ๆ

**หมายเหตุ** แกงจืดตีน้ำมันชนิดนี้ จะใช้แตงกวา บวบหอม ฟักเขียว ฟักทอง ฯลฯ ก็ได้ ถ้าชอบไข่ใส่ไข่ด้วย แต่อย่าคนขณะเมื่อต่อยไข่ใส่ลงไป ให้เขี่ยแต่พอไข่แดงแตก แล้วเขี่ยให้กระจายออกพอไม่ให้เป็นแผ่นใหญ่ มิฉะนั้นน้ำแกงจะข้น ไม่น่ารับประทาน"
56,กะหรี่พัฟฟ์,"##การเตรียมแป้งพัฟฟ์:
1.ร่อนแป้งสาลีใส่อ่างใหญ่ ทำหลุมตรงกลาง
2.ต่อยไข่ใส่ในหลุม เติมหัวกะทิ
3.คนส่วนผสมให้เข้ากันจนเป็นก้อน แล้วนวดจนแป้งเนียนและนุ่ม
4.คลึงเป็นแท่งยาว ตัดเป็น 16 ส่วน คลุมด้วยผ้าชุบน้ำบิดแห้ง

##การเตรียมแป้งชั้นนอก:
1. ใส่แป้งสาลีที่เหลือ 3 ถ้วย ลงในอ่าง นวดกับน้ำมันหมู 14 ช้อนโต๊ะ
2. คลึงเป็นแท่งยาว ตัดเป็น 16 ส่วน เช่นเดียวกับแป้งขั้นตอน 1
3. เอาแป้งไข่+หัวกะทิมาหุ้มแป้งชั้นนอกให้มิด ปั้นเป็นก้อนกลม

##การรีดและพับแป้ง:
1. คลึงแป้งเป็นแท่งยาว 18 ซม. แล้วแบ่งเป็น 3 ส่วน
2. พับปลายทั้งสองเข้ามาซ้อนกันเป็น 3 ชั้น
3. คลึงก้อนแรกอีกครั้ง ตัดเป็น 6 แว่น คลึงแต่ละแว่นเป็นแผ่นกลมบาง 0.3 มม.

##การทำไส้:
1. ต้มมันฝรั่งหั่นเล็ก
2. หั่นหอมหัวใหญ่และเนื้อไก่เล็ก ๆ
3. คั่วเครื่องเทศ (ลูกผักชี, กระวาน, กานพลู, ดอกจันทร์, โป๊ยกั๊ก, หัวหอม, กระเทียม, ขมิ้น, ขิง) ให้หอม
4. โขลกเครื่องเทศและเกลือให้ละเอียด
5. ตั้งกระทะใส่น้ำมัน 1 ช้อนโต๊ะ พอร้อน ผัดเครื่องเทศกับน้ำเล็กน้อย
6. ใส่เนื้อไก่และหัวหอม ผัดจนสุก
7. ปรุงรสด้วยน้ำปลาและน้ำตาล คนให้เข้ากัน

##การประกอบพัฟฟ์:
1. วางไส้ตรงกลางแผ่นแป้ง พับแป้งปิดเป็นรูปถั่วแปป
2. ใช้นิ้วแตะน้ำทาขอบแป้งให้ติดแน่น
3. พับริมแป้งเป็นเกลียวจนทั่ว

##การทอดพัฟฟ์:
1. ตั้งน้ำมันร้อน ทอดพัฟฟ์จนเหลืองกรอบ
2. ตักขึ้นสะเด็ดน้ำมัน พร้อมเสิร์ฟ"
57,ปลาทูแนม,"1. โขลกข่าให้ละเอียด ใส่ปลาทูและเกลือ โขลกและยีให้ฟู
2. ใส่มะพร้าวคั่ว, น้ำมะนาว, น้ำส้มซ่า, น้ำกระเทียมดองทีละน้อย คลุกเบา ๆ
3. ใส่ข้าวคั่วบางส่วน, หนังหมู และมันหมู คลุกให้เข้ากัน
4. เติมหอมหัวเล็ก, ถั่วลิสง, น้ำตาล ชิมรส เปรี้ยว-เค็ม-หวาน ตามชอบ
5. จัดใส่จาน เสิร์ฟพร้อมผักสด และตกแต่งด้วยส้มซ่า, กระเทียมดอง, พริก และถั่วลิสง"
58,ขนมกลีบลำดวน,"1. ผึ่งแป้งสาลีและน้ำตาลป่น 2 ครั้ง แล้วตวงส่วนผสม
2. ผสมแป้งกับน้ำมันหมู นวดพอเนียนนุ่ม
3. ปั้นเป็นก้อนขนาดเส้นผ่านศูนย์กลาง 2 ซม. แล้วผ่าเป็น 4 ส่วน
4. กดแต่งเป็นรูปกลีบลำดวนสามกลีบ วางก้อนแป้งกลมตรงกลาง
5. ใส่เมล็ดแตงโมตรงกลางกดให้ตั้งเป็นปุ่ม
6. จัดเรียงใส่ถาดที่ทาน้ำมันไว้ อบ 10-15 นาที จนสีสวยนวล อย่าให้เหลืองเกินไป
7. พอเย็น ใส่ขวดและอบด้วยดอกมะลิ, กะดังงา, และเทียนอบตามชอบ"
59,แกงเผ็ดหมู,"1. คั่วเครื่องเทศทั้งหมดพอหอม อย่าให้ไหม้เกรียม
2. โขลกเครื่องเทศให้ละเอียด ใส่ข่า ตะไคร้ รากผักชี ผิวมะกรูด โขลกต่อจนละเอียด
3. หั่นเนื้อหมูชิ้นบางประมาณ 2×3 ซม.
4. ล้างผักต่าง ๆ เด็ดและหั่นเตรียมไว้
5. คั้นกะทิใส่หม้อตั้งไฟจนเดือดและแตกมันเล็กน้อย
6. ช้อนหัวกะทิใส่กะทะ เคี่ยวจนเป็นมัน ตักน้ำพริกใส่ผัดประมาณ 10 นาที
7. ใส่น้ำพริกที่ผัดแล้วลงหม้อ ตั้งไฟจนเดือด
8. ใส่เนื้อหมู ใบมะกรูด ปรุงรสด้วยน้ำปลา พอหมูเริ่มสุกใส่พริกสดและมะเขือ
9. พอสุก ยกหม้อลง ใส่ใบกะเพราและใบโหระพา คลุกเบา ๆ พร้อมเสิร์ฟ"
